997 root root 255 255 255 None None
480149254 Laterolateral anterior visual area, layer 6b VISlla6b 1 147 153 None 480149230
1002 Primary auditory area AUDp 1 147 153 None 247
735 Primary auditory area, layer 1 AUDp1 1 147 153 None 1002
251 Primary auditory area, layer 2/3 AUDp2/3 1 147 153 None 1002
816 Primary auditory area, layer 4 AUDp4 1 147 153 None 1002
847 Primary auditory area, layer 5 AUDp5 1 147 153 None 1002
954 Primary auditory area, layer 6a AUDp6a 1 147 153 None 1002
1005 Primary auditory area, layer 6b AUDp6b 1 147 153 None 1002
1027 Posterior auditory area AUDpo 1 147 153 None 247
696 Posterior auditory area, layer 1 AUDpo1 1 147 153 None 1027
643 Posterior auditory area, layer 2/3 AUDpo2/3 1 147 153 None 1027
759 Posterior auditory area, layer 4 AUDpo4 1 147 153 None 1027
791 Posterior auditory area, layer 5 AUDpo5 1 147 153 None 1027
249 Posterior auditory area, layer 6a AUDpo6a 1 147 153 None 1027
456 Posterior auditory area, layer 6b AUDpo6b 1 147 153 None 1027
1018 Ventral auditory area AUDv 1 147 153 None 247
959 Ventral auditory area, layer 1 AUDv1 1 147 153 None 1018
755 Ventral auditory area, layer 2/3 AUDv2/3 1 147 153 None 1018
990 Ventral auditory area, layer 4 AUDv4 1 147 153 None 1018
1023 Ventral auditory area, layer 5 AUDv5 1 147 153 None 1018
520 Ventral auditory area, layer 6a AUDv6a 1 147 153 None 1018
598 Ventral auditory area, layer 6b AUDv6b 1 147 153 None 1018
669 Visual areas VIS 8 133 140 None 315
801 Visual areas, layer 1 VIS1 8 133 140 None 669
561 Visual areas, layer 2/3 VIS2/3 8 133 140 None 669
913 Visual areas, layer 4 VIS4 8 133 140 None 669
937 Visual areas, layer 5 VIS5 8 133 140 None 669
457 Visual areas, layer 6a VIS6a 8 133 140 None 669
497 Visual areas, layer 6b VIS6b 8 133 140 None 669
402 Anterolateral visual area VISal 8 133 140 None 669
1074 Anterolateral visual area, layer 1 VISal1 8 133 140 None 402
905 Anterolateral visual area, layer 2/3 VISal2/3 8 133 140 None 402
1114 Anterolateral visual area, layer 4 VISal4 8 133 140 None 402
233 Anterolateral visual area, layer 5 VISal5 8 133 140 None 402
601 Anterolateral visual area, layer 6a VISal6a 8 133 140 None 402
649 Anterolateral visual area, layer 6b VISal6b 8 133 140 None 402
394 Anteromedial visual area VISam 8 133 140 None 669
281 Anteromedial visual area, layer 1 VISam1 8 133 140 None 394
1066 Anteromedial visual area, layer 2/3 VISam2/3 8 133 140 None 394
401 Anteromedial visual area, layer 4 VISam4 8 133 140 None 394
433 Anteromedial visual area, layer 5 VISam5 8 133 140 None 394
1046 Anteromedial visual area, layer 6a VISam6a 8 133 140 None 394
441 Anteromedial visual area, layer 6b VISam6b 8 133 140 None 394
409 Lateral visual area VISl 8 133 140 None 669
421 Lateral visual area, layer 1 VISl1 8 133 140 None 409
973 Lateral visual area, layer 2/3 VISl2/3 8 133 140 None 409
573 Lateral visual area, layer 4 VISl4 8 133 140 None 409
613 Lateral visual area, layer 5 VISl5 8 133 140 None 409
74 Lateral visual area, layer 6a VISl6a 8 133 140 None 409
121 Lateral visual area, layer 6b VISl6b 8 133 140 None 409
385 Primary visual area VISp 8 133 140 None 669
593 Primary visual area, layer 1 VISp1 8 133 140 None 385
821 Primary visual area, layer 2/3 VISp2/3 8 133 140 None 385
721 Primary visual area, layer 4 VISp4 8 133 140 None 385
778 Primary visual area, layer 5 VISp5 8 133 140 None 385
33 Primary visual area, layer 6a VISp6a 8 133 140 None 385
305 Primary visual area, layer 6b VISp6b 8 133 140 None 385
425 Posterolateral visual area VISpl 8 133 140 None 669
750 Posterolateral visual area, layer 1 VISpl1 8 133 140 None 425
269 Posterolateral visual area, layer 2/3 VISpl2/3 8 133 140 None 425
869 Posterolateral visual area, layer 4 VISpl4 8 133 140 None 425
902 Posterolateral visual area, layer 5 VISpl5 8 133 140 None 425
377 Posterolateral visual area, layer 6a VISpl6a 8 133 140 None 425
393 Posterolateral visual area, layer 6b VISpl6b 8 133 140 None 425
533 posteromedial visual area VISpm 8 133 140 None 669
805 posteromedial visual area, layer 1 VISpm1 8 133 140 None 533
41 posteromedial visual area, layer 2/3 VISpm2/3 8 133 140 None 533
501 posteromedial visual area, layer 4 VISpm4 8 133 140 None 533
565 posteromedial visual area, layer 5 VISpm5 8 133 140 None 533
257 posteromedial visual area, layer 6a VISpm6a 8 133 140 None 533
469 posteromedial visual area, layer 6b VISpm6b 8 133 140 None 533
312782574 Laterointermediate area VISli 8 133 140 None 669
312782578 Laterointermediate area, layer 1 VISli1 8 133 140 None 312782574
312782582 Laterointermediate area, layer 2/3 VISli2/3 8 133 140 None 312782574
312782586 Laterointermediate area, layer 4 VISli4 8 133 140 None 312782574
312782590 Laterointermediate area, layer 5 VISli5 8 133 140 None 312782574
312782594 Laterointermediate area, layer 6a VISli6a 8 133 140 None 312782574
312782598 Laterointermediate area, layer 6b VISli6b 8 133 140 None 312782574
312782628 Postrhinal area VISpor 8 133 140 None 669
312782632 Postrhinal area, layer 1 VISpor1 8 133 140 None 312782628
312782636 Postrhinal area, layer 2/3 VISpor2/3 8 133 140 None 312782628
312782640 Postrhinal area, layer 4 VISpor4 8 133 140 None 312782628
312782644 Postrhinal area, layer 5 VISpor5 8 133 140 None 312782628
312782648 Postrhinal area, layer 6a VISpor6a 8 133 140 None 312782628
312782652 Postrhinal area, layer 6b VISpor6b 8 133 140 None 312782628
31 Anterior cingulate area ACA 64 166 102 None 315
572 Anterior cingulate area, layer 1 ACA1 64 166 102 None 31
1053 Anterior cingulate area, layer 2/3 ACA2/3 64 166 102 None 31
739 Anterior cingulate area, layer 5 ACA5 64 166 102 None 31
179 Anterior cingulate area, layer 6a ACA6a 64 166 102 None 31
227 Anterior cingulate area, layer 6b ACA6b 64 166 102 None 31
39 Anterior cingulate area, dorsal part ACAd 64 166 102 None 31
935 Anterior cingulate area, dorsal part, layer 1 ACAd1 64 166 102 None 39
211 Anterior cingulate area, dorsal part, layer 2/3 ACAd2/3 64 166 102 None 39
1015 Anterior cingulate area, dorsal part, layer 5 ACAd5 64 166 102 None 39
919 Anterior cingulate area, dorsal part, layer 6a ACAd6a 64 166 102 None 39
927 Anterior cingulate area, dorsal part, layer 6b ACAd6b 64 166 102 None 39
48 Anterior cingulate area, ventral part ACAv 64 166 102 None 31
588 Anterior cingulate area, ventral part, layer 1 ACAv1 64 166 102 None 48
296 Anterior cingulate area, ventral part, layer 2/3 ACAv2/3 64 166 102 None 48
772 Anterior cingulate area, ventral part, layer 5 ACAv5 64 166 102 None 48
810 Anterior cingulate area, ventral part, 6a ACAv6a 64 166 102 None 48
819 Anterior cingulate area, ventral part, 6b ACAv6b 64 166 102 None 48
972 Prelimbic area PL 47 168 80 None 315
171 Prelimbic area, layer 1 PL1 47 168 80 None 972
195 Prelimbic area, layer 2 PL2 47 168 80 None 972
304 Prelimbic area, layer 2/3 PL2/3 47 168 80 None 972
363 Prelimbic area, layer 5 PL5 47 168 80 None 972
84 Prelimbic area, layer 6a PL6a 47 168 80 None 972
132 Prelimbic area, layer 6b PL6b 47 168 80 None 972
44 Infralimbic area ILA 89 179 99 None 315
707 Infralimbic area, layer 1 ILA1 89 179 99 None 44
747 Infralimbic area, layer 2 ILA2 89 179 99 None 44
556 Infralimbic area, layer 2/3 ILA2/3 89 179 99 None 44
827 Infralimbic area, layer 5 ILA5 89 179 99 None 44
1054 Infralimbic area, layer 6a ILA6a 89 179 99 None 44
1081 Infralimbic area, layer 6b ILA6b 89 179 99 None 44
714 Orbital area ORB 36 138 94 None 315
264 Orbital area, layer 1 ORB1 36 138 94 None 714
492 Orbital area, layer 2/3 ORB2/3 36 138 94 None 714
352 Orbital area, layer 5 ORB5 36 138 94 None 714
476 Orbital area, layer 6a ORB6a 36 138 94 None 714
516 Orbital area, layer 6b ORB6b 36 138 94 None 714
723 Orbital area, lateral part ORBl 36 138 94 None 714
448 Orbital area, lateral part, layer 1 ORBl1 36 138 94 None 723
412 Orbital area, lateral part, layer 2/3 ORBl2/3 36 138 94 None 723
630 Orbital area, lateral part, layer 5 ORBl5 36 138 94 None 723
440 Orbital area, lateral part, layer 6a ORBl6a 36 138 94 None 723
488 Orbital area, lateral part, layer 6b ORBl6b 36 138 94 None 723
731 Orbital area, medial part ORBm 36 138 94 None 714
484 Orbital area, medial part, layer 1 ORBm1 36 138 94 None 731
524 Orbital area, medial part, layer 2 ORBm2 36 138 94 None 731
582 Orbital area, medial part, layer 2/3 ORBm2/3 36 138 94 None 731
620 Orbital area, medial part, layer 5 ORBm5 36 138 94 None 731
910 Orbital area, medial part, layer 6a ORBm6a 36 138 94 None 731
527696977 Orbital area, medial part, layer 6b ORBm6b 36 138 94 None 731
738 Orbital area, ventral part ORBv 36 138 94 None 714
746 Orbital area, ventrolateral part ORBvl 36 138 94 None 714
969 Orbital area, ventrolateral part, layer 1 ORBvl1 36 138 94 None 746
288 Orbital area, ventrolateral part, layer 2/3 ORBvl2/3 36 138 94 None 746
1125 Orbital area, ventrolateral part, layer 5 ORBvl5 36 138 94 None 746
608 Orbital area, ventrolateral part, layer 6a ORBvl6a 36 138 94 None 746
680 Orbital area, ventrolateral part, layer 6b ORBvl6b 36 138 94 None 746
95 Agranular insular area AI 33 152 102 None 315
104 Agranular insular area, dorsal part AId 33 152 102 None 95
996 Agranular insular area, dorsal part, layer 1 AId1 33 152 102 None 104
328 Agranular insular area, dorsal part, layer 2/3 AId2/3 33 152 102 None 104
1101 Agranular insular area, dorsal part, layer 5 AId5 33 152 102 None 104
783 Agranular insular area, dorsal part, layer 6a AId6a 33 152 102 None 104
831 Agranular insular area, dorsal part, layer 6b AId6b 33 152 102 None 104
111 Agranular insular area, posterior part AIp 33 152 102 None 95
120 Agranular insular area, posterior part, layer 1 AIp1 33 152 102 None 111
163 Agranular insular area, posterior part, layer 2/3 AIp2/3 33 152 102 None 111
344 Agranular insular area, posterior part, layer 5 AIp5 33 152 102 None 111
314 Agranular insular area, posterior part, layer 6a AIp6a 33 152 102 None 111
355 Agranular insular area, posterior part, layer 6b AIp6b 33 152 102 None 111
119 Agranular insular area, ventral part AIv 33 152 102 None 95
704 Agranular insular area, ventral part, layer 1 AIv1 33 152 102 None 119
694 Agranular insular area, ventral part, layer 2/3 AIv2/3 33 152 102 None 119
800 Agranular insular area, ventral part, layer 5 AIv5 33 152 102 None 119
675 Agranular insular area, ventral part, layer 6a AIv6a 33 152 102 None 119
699 Agranular insular area, ventral part, layer 6b AIv6b 33 152 102 None 119
254 Retrosplenial area RSP 26 166 152 None 315
894 Retrosplenial area, lateral agranular part RSPagl 26 166 152 None 254
671 Retrosplenial area, lateral agranular part, layer 1 RSPagl1 26 166 152 None 894
965 Retrosplenial area, lateral agranular part, layer 2/3 RSPagl2/3 26 166 152 None 894
774 Retrosplenial area, lateral agranular part, layer 5 RSPagl5 26 166 152 None 894
906 Retrosplenial area, lateral agranular part, layer 6a RSPagl6a 26 166 152 None 894
279 Retrosplenial area, lateral agranular part, layer 6b RSPagl6b 26 166 152 None 894
480149258 Mediomedial anterior visual area VISmma 26 166 152 None 894
480149262 Mediomedial anterior visual area, layer 1 VISmma1 26 166 152 None 480149258
480149266 Mediomedial anterior visual area, layer 2/3 VISmma2/3 26 166 152 None 480149258
